node1,node2,dist,real_dist
Angarsk,Irkutsk,0.005037172010652792,45151.0
Armavir,Sochi,0.02111575336456506,371442.0
Astrakhan,Makhachkala,0.028916330151444236,509198.0
Balakovo,Saratov,0.01993449939091072,169632.0
Balashikha,Lyubertsy,0.001480952420995753,21779.0
Barnaul,Biysk,0.017508868764736986,167152.0
Belgorod,Kursk,0.012866621695476857,
Blagoveshchensk,Khabarovsk,0.08829941836549561,694732.0
Angarsk,Bratsk,0.046507004511735145,573051.0
Bryansk,Kaluga,0.024452719388806044,229873.0
Cheboksary,Yoshkar-Ola,0.00851497826985348,92989.0
Chelyabinsk,Yekaterinburg,0.02181594961710169,213435.0
Cherepovets,Vologda,0.017832382485287818,135298.0
Chita,Ulan-Ude,0.0636156490106799,608646.0
Dzerzhinsk,Ivanovo,0.02570635851364956,251786.0
Ivanovo,Kostroma,0.009556450946719756,105702.0
Izhevsk,Nizhnekamsk,0.019861428831126248,212686.0
Kaliningrad,Saint Petersburg,0.1153087590728824,983290.0
Kaluga,Tula,0.014260755916098015,
Kazan,Yoshkar-Ola,0.015625571466693654,141981.0
Kemerovo,Tomsk,0.017637447931934194,217596.0
Khabarovsk,Komsomolsk-on-Amur,0.030664691419173662,402188.0
Khimki,Moscow,0.0024257121650772947,20940.0
Kirov,Yoshkar-Ola,0.02936991412511492,300492.0
Krasnodar,Novorossiysk,0.015141365613104871,149907.0
Krasnoyarsk,Novokuznetsk,0.062479663067294786,750646.0
Kurgan,Tyumen,0.02097435040303454,
Lipetsk,Voronezh,0.011095655473147576,134246.0
Magnitogorsk,Orsk,0.024064225181651067,303291.0
Moscow,Mytishchi,0.002185984914267438,22929.0
Murmansk,Petrozavodsk,0.10124568092885712,931661.0
Nizhnevartovsk,Surgut,0.027126865979125624,220246.0
Kemerovo,Novokuznetsk,0.021132612756571068,223331.0
Barnaul,Novosibirsk,0.02142346868504396,231668.0
Nizhnevartovsk,Omsk,0.07788887635890063,1437560.0
Orenburg,Sterlitamak,0.022642126999521173,257010.0
Penza,Saransk,0.011449202931782143,147619.0
Izhevsk,Perm,0.03198892655637399,
Petrozavodsk,Saint Petersburg,0.04183103188979953,428147.0
Samara,Ulyanovsk,0.021764349727846244,240226.0
Shakhty,Taganrog,0.0159689762874606,147234.0
Bryansk,Smolensk,0.02979501468816906,250318.0
Krasnodar,Sochi,0.015320796053238904,288376.0
Sterlitamak,Ufa,0.012770599699038187,126397.0
Kirov,Syktyvkar,0.04213640542807304,409596.0
Lipetsk,Tambov,0.019662453125290042,133530.0
Khimki,Tver,0.01888628007544828,160455.0
Irkutsk,Ulan-Ude,0.035715642572180614,456806.0
Kazan,Ulyanovsk,0.018597935116805117,218136.0
Makhachkala,Vladikavkaz,0.036035089534796935,277796.0
Ivanovo,Vladimir,0.011856976878847257,
Khabarovsk,Vladivostok,0.05961131385014565,759306.0
Saratov,Volgograd,0.03303634488649372,381044.0
Blagoveshchensk,Yakutsk,0.1342155930536699,1796536.0
Kostroma,Yaroslavl,0.009789022664227369,83942.0
Komsomolsk-on-Amur,Yuzhno-Sakhalinsk,0.07621011433411601,887017.0
Bratsk,Krasnoyarsk,0.08543623775680624,688511.0
Armavir,Vladikavkaz,0.047137881966265734,401253.0
Penza,Saratov,0.02095723737082504,225474.0
Balashikha,Mytishchi,0.0024034047992514715,29133.0
Biysk,Novokuznetsk,0.024439337099779527,262668.0
Bryansk,Kursk,0.025371758430604456,
Blagoveshchensk,Chita,0.15325641583144806,1556647.0
Lyubertsy,Tula,0.017415334146168287,
Kazan,Nizhnekamsk,0.026599325644002768,236569.0
Chelyabinsk,Magnitogorsk,0.031591297036884805,310319.0
Vologda,Yaroslavl,0.02002113275475146,194053.0
Krasnodar,Taganrog,0.02020610090249176,350884.0
Chelyabinsk,Kurgan,0.03931248669828217,
Lipetsk,Tula,0.027479724994561014,
Cherepovets,Petrozavodsk,0.04716473239619709,546091.0
Kurgan,Omsk,0.07991018382122322,
Magnitogorsk,Sterlitamak,0.03177155938585502,365528.0
Nizhnevartovsk,Novosibirsk,0.09189703337821087,2092914.0
Balashikha,Vladimir,0.02447397597794759,
Balakovo,Ulyanovsk,0.02678020865443054,299651.0
Izhevsk,Ufa,0.03661238704114413,341884.0
Belgorod,Taganrog,0.04192647225201517,766184.0
Dzerzhinsk,Saransk,0.029289724639142745,302129.0
